"   ","OWNER_CODE"
"1268","LTXU"
"1269","DCZU"
"1270","GLCU"
"1271","EGUU"
"1272","PNIU"
"1273","BC20"
"1274","LBCU"
"1275","PHEU"
"1276","IEMU"
"1277","HUCU"
"1278","PDLU"
"1279","ADLU"
"1280","MLDU"
"1281","TYJU"
"1282","DLJU"
"1283","XJYU"
"1284","YELU"
"1285","XHLU"
"1286","CYDU"
"1287","WOEU"
"1288","DAAU"
"1289","TRTU"
"1290","TUCU"
"1291","AZTU"
"1292","TKUU"
"1293","FSCU"
"1294","AMFU"
"1295","CGMU"
"1296","CXTU"
"1297","SGCU"
"1298","NEXU"
"1299","NPCU"
"1300","GVTU"
"1301","VCSU"
"1302","TABU"
"1303","YOIU"
"1304","RIXU"
"1305","CHAU"
"1306","CSCU"
"1307","CZZU"
"1308","RAVU"
"1309","VCXU"
"1310","GCEU"
"1311","SJYU"
"1312","VMLU"
"1313","SINU"
"1314","SGLU"
"1315","CHUU"
"1316","LOGU"
"1317","CRYU"
"1318","HCSU"
"1319","PBSU"
"1320","HAKU"
"1321","WAIU"
"1322","CSFU"
"1323","SEFU"
"1324","YCLU"
"1325","DHIU"
"1326","FLZU"
"1327","CBMU"
"1328","TKLU"
"1329","CYMU"
"1330","UFTU"
"1331","SLZU"
"1332","GSSU"
"1333","PIFU"
"1334","TSCU"
"1335","YMBU"
"1336","RFSU"
"1337","LCKU"
"1338","NTCU"
"1339","MANU"
"1340","COYU"
"1341","THMU"
"1342","DTXU"
"1343","JXHU"
"1344","POAU"
"1345","UFCU"
"1346","MBCU"
"1347","GGSU"
"1348","PXCU"
"1349","CSCL"
"1350","FPTU"
"1351","HTCU"
"1352","MXFU"
"1353","FUJU"
"1354","TICU"
"1355","SLDU"
"1356","TTHU"
"1357","UTEU"
"1358","AFLU"
"1359","GCXU"
"1360","TGHU"
"1361","TRLU"
"1362","BHCU"
"1363","ECMU"
"1364","SENU"
"1365","TSLU"
"1366","RGHU"
"1367","APLU"
"1368","HJLU"
"1369","TNLU"
"1370","NCTU"
"1371","ZNZU"
"1372","TDCU"
"1373","DSCU"
"1374","IVLU"
"1375","ZHGU"
"1376","MBXU"
"1377","NSKU"
"1378","LCEU"
"1379","AKCU"
"1380","MWTU"
"1381","KPMU"
"1382","SANU"
"1383","SFCU"
"1384","ILIU"
"1385","WFLU"
"1386","WAGU"
"1387","HCOU"
"1388","SNGU"
"1389","DCSU"
"1390","XMPU"
"1391","MPCU"
"1392","XBCU"
"1393","MBMU"
"1394","7234"
"1395","4238"
"1396","GEAU"
"1397","ATLU"
"1398","INUU"
"1399","TXLX"
"1400","TTLU"
"1401","NTRU"
